"Time","V (stats)"
0.05,-85.234215
1.05,-49.196037
2.05,49.649490
3.05,51.119167
4.05,50.700867
5.05,49.829571
6.05,48.927303
7.05,48.111683
8.05,47.405495
9.05,46.802780
10.05,46.289982
11.05,45.852772
12.05,45.478184
13.05,45.155125
14.05,44.874367
15.05,44.628304
16.05,44.410709
17.05,44.216465
18.05,44.041382
19.05,43.881996
20.05,43.735443
21.05,43.599346
22.05,43.471729
23.05,43.350933
24.05,43.235580
25.05,43.124508
26.05,43.016747
27.05,42.911472
28.05,42.808002
29.05,42.705750
30.05,42.604225
31.05,42.503017
32.05,42.401779
33.05,42.300209
34.05,42.198067
35.05,42.095135
36.05,41.991245
37.05,41.886246
38.05,41.780014
39.05,41.672451
40.05,41.563469
41.05,41.452999
42.05,41.340984
43.05,41.227386
44.05,41.112171
45.05,40.995312
46.05,40.876785
47.05,40.756592
48.05,40.634720
49.05,40.511173
50.05,40.385952
51.05,40.259071
52.05,40.130535
53.05,40.000366
54.05,39.868576
55.05,39.735188
56.05,39.600220
57.05,39.463699
58.05,39.325649
59.05,39.186089
60.05,39.045052
61.05,38.902561
62.05,38.758648
63.05,38.613335
64.05,38.466652
65.05,38.318630
66.05,38.169296
67.05,38.018673
68.05,37.866795
69.05,37.713684
70.05,37.559368
71.05,37.403877
72.05,37.247238
73.05,37.089470
74.05,36.930599
75.05,36.770653
76.05,36.609650
77.05,36.447617
78.05,36.284573
79.05,36.120541
80.05,35.955536
81.05,35.789577
82.05,35.622688
83.05,35.454884
84.05,35.286175
85.05,35.116585
86.05,34.946121
87.05,34.774799
88.05,34.602631
89.05,34.429626
90.05,34.255798
91.05,34.081158
92.05,33.905708
93.05,33.729458
94.05,33.552418
95.05,33.374592
96.05,33.195988
97.05,33.016605
98.05,32.836449
99.05,32.655521
